texture,cheeseType,moisture,fat,protein,FDM,MNFS,pH,WSN,G80,LT_max,vLT_max,v_CO,F_max,SQ_35,SQ_80,FD,FO,moisture_SD,fat_SD,protein_SD,pH_SD,WSN_SD,G80_SD,LT_max_SD,vLT_max_SD,v_CO_SD,F_max_SD,SQ_35_SD,FD_SD,FO_SD
1,Cheddar  ,33.4,35.3,26.6,53,51.6,5.3,28.8,68,2.54,75.5,54.06,2.85,0.45,0.07,2.3,27.24,0.12,0.4,0.02,0,0.78,6,0.03,0.37,0.47,0.49,0.09,0.13,1.33
1,Swiss-type 1 FFC,34,31,30.9,47,49.2,5.53,17.4,139,2.78,69.73,52.43,4.41,1.09,0.24,2.42,32.78,0.23,0.24,0.22,0.01,0.17,15,0.08,0.37,0.28,0.28,0.05,0.05,0.76
1,Swiss-type 1 RFC,37.7,20.2,37.2,32.4,47.2,5.61,19.7,240,2.88,69.57,52.89,6.31,3.14,0.44,2.41,25.47,0.1,0.33,0.17,0.04,0.55,35,0.08,1.2,0.14,0.52,0.31,0.29,1.2
1,Swiss-type 2 ,38,28.5,28.5,46,53.1,5.55,8.21,48,3.46,72.85,55.3,7.54,1.48,0.54,2.6,29.63,0.02,0.05,0.2,0,0.06,5,0.21,0.34,0.37,1.06,0.13,0.08,2.65
1,Emmental  ,36.5,29.7,29.6,46.6,51.9,5.4,13.1,105,3.12,73.61,56.36,4.95,1.88,0.54,2.39,27.25,0.15,0.13,0.46,0.01,0.11,1,0.09,0.15,0.1,0.23,0.2,0.07,1.56
1,Mountain cheese ,39.3,31.2,24.6,51.4,51.9,5.44,26.4,156,2.45,76.2,59.3,3.6,0.77,0.27,3.12,41.81,0.11,0.34,0.23,0.19,0.25,25,0.12,1,0.55,0.43,0.06,0.17,3.31
1,Swiss-type 3 ,32.5,30.7,32.7,45.5,47,5.51,21.7,225,2.46,69.6,54.51,4.25,0.81,0.28,2.42,43.01,0.08,0.04,0.06,0,0.03,14,0.07,0.21,0.22,0.17,0.46,0.07,1.02
1,Gruyère  ,32.3,35.7,27.2,52.7,50.3,5.52,25.5,60,2.32,79.25,65.75,5.87,3.36,0.92,3.22,42.31,0.18,0.22,0.17,0,0.62,1,0.09,0.32,0.49,1.51,0.56,0.06,0.66
1,Comté  ,31.1,35.1,29.7,50.9,47.9,5.55,34.6,43,3.09,72.08,53.68,3.85,0.85,0.24,2.92,43.04,0.24,0.55,0.25,0.01,0.56,5,0.18,0.83,0.24,0.29,0.05,0.06,0.45
2,Gouda  ,46.5,26.5,22.1,49.5,63.3,5.32,12.4,183,2.25,71.89,54.22,3.63,1.13,0.45,2.77,36.25,0.54,0.35,0.09,0.02,0.22,22,0.06,1.41,0.41,0.14,0.07,0.17,1.12
2,Edam FFC ,44.5,24.5,26.7,44.2,59,5.41,18.7,200,2.74,72.37,54.15,4.71,2.37,0.5,2.92,18.67,0.12,0.12,0.13,0.03,0.58,17,0.11,0.9,0.38,0.56,0.63,0.02,0.46
2,Edam RFC ,50.3,16.6,27.2,33.4,60.3,5.24,12.1,430,2.23,74.01,55.65,6.09,3.21,0.68,2.63,13.56,0.05,0.21,0.23,0.04,0.35,60,0.07,3.17,0.58,0.65,0.27,0.08,1.39
2,Esrom  ,42.1,26,26.4,44.9,56.9,5.57,67.2,108,2.36,72.15,56.03,2.49,0.72,0.22,2.33,34.32,0.07,0.12,0.36,0.01,2.36,12,0.06,0.13,0.52,0.33,0.07,0.13,0.62
2,Raclette  ,40.3,29.3,25.4,49.1,57,5.4,30.3,77,2.72,73.97,51.83,2.26,0.49,0.11,3.22,43.54,0.12,0.2,0.11,0.02,2.06,10,0.16,0.92,0.47,0.08,0.03,0.12,2.17
2,Semi-hard 1 ,38.3,31.1,25.8,50.4,55.6,5.59,29.4,154,2.61,72.02,54.96,3.54,1.02,0.34,2.3,40.85,0.24,0.34,0.22,0.04,2.27,2,0.05,0.44,0.39,0.5,0.22,0.1,0.57
2,Semi-hard 2 ,39,28.1,28.2,46.1,54.3,5.58,29.6,235,2.18,69.8,56,3.09,0.94,0.24,2.94,49.63,0.11,0.16,0.16,0.02,0.45,24,0.05,0.77,0.23,0.08,0.09,0.11,0.78
2,Semi-hard 3 ,40.9,27.3,26.9,46.1,56.2,5.55,9.89,302,2.15,74.9,59.7,4.29,1.05,0.37,2.03,34.95,0.11,0.35,0.26,0,0.1,27,0.05,0.39,0.28,0.18,0.07,0.06,2.58
2,Tilsiter  ,42.6,25.7,26.1,44.8,57.4,5.33,8.55,152,2.54,72.9,53.5,2.83,0.8,0.14,2.33,28.42,0.08,0.35,0.2,0.04,0.07,13,0.06,0.27,0.47,0.32,0.06,0.15,1.78
3,Brie  ,40.9,37.5,17.2,63.5,65.4,5.02,93.3,50,3.64,74.28,54.38,0.61,0.11,0.05,3.38,50.75,0.1,0.24,0.06,0.02,1.32,4,0.17,0.45,0.77,0.04,0.01,0.24,1.41
3,Camembert  ,47.4,25.4,22.2,48.2,63.5,5.22,97.1,48,2.03,66.94,54.67,0.69,0.46,0.05,3.68,44.71,0.08,0.23,0.09,0.01,1.27,16,0.17,0.098,0.24,0.11,0.15,0.2,0.24
3,Limburger  ,50.2,21.2,22.9,42.6,63.7,5.23,47.5,16,3.11,76.23,54.28,0.76,0.58,0.11,3.7,40.75,0.06,0.05,0.12,0.01,2.85,4,0.19,1.25,0.9,0.09,0.04,0.32,1.36
4,Mozzarella  ,51.1,21.8,22.6,44.7,65.4,5.96,12.1,146,1.85,74.66,54.28,3.58,1.69,0.59,2.91,12.63,0.11,0.12,0.21,0,0.4,8,0.01,0.36,0.37,0.79,0.29,0.21,0.43
4,Provolone  ,39.8,26.9,28.3,44.6,54.4,5.23,17.4,50,3.66,72.52,51.28,1.72,0.3,0.09,2.78,42.49,0.11,0.14,0.07,0.01,0.86,4,0.08,0.86,0.28,0.19,0.08,0.01,0.51
5,Type Emmental ,36.8,30,28,47.4,52.6,5.58,89.1,400,1.17,69.92,58.43,1.52,0.66,0.08,2.44,8.84,0.08,0.04,0.16,0.02,0.61,32,0.02,0.5,0.45,0.07,0.09,0.06,0.09
